Player,PassesCompleted,PassesAttempted
Carl Johansson,193,220
Ben Johnson,120,163
Brennan Johnson,174,248
Karl-Johan Johnsson,107,129
Sam Johnstone,136,206
Paul Joly,199,282
Curtis Jones,202,218
Frenkie de Jong,112,122
Joan Jordán,161,242
Jorginho,62,73
Jesse Joronen,205,273
Jota,85,118
Diogo Jota,73,109
Antoine Joujou,38,74
,,
Luka Jović,15,20
Juanmi,34,43
Juanpe,200,220
Jubal,247,284
Abdulai Juma Bah,106,138
Anthony Jung,511,561
Hamed Junior Traorè,160,222
Vinicius Júnior,293,391
David Jurásek,49,79
Stanko Jurić,216,257
James Justin,392,486
Mohamed Kaba,3,5
Yusuf Kabadayı,16,25
Almugera Kabar,26,30
Christian Kabasele,312,364
Yaya Kader Fofana,164,210
Pavel Kadeřábek,196,296
